Tm,win%,pt_diff
New England Patriots,0.812,10.1
Buffalo Bills,0.562,-3.6
Miami Dolphins,0.375,-7.0
New York Jets,0.312,-5.2
Pittsburgh Steelers,0.812,6.1
Baltimore Ravens,0.562,5.8
Cincinnati Bengals,0.438,-3.7
Cleveland Browns,0.0,-11.0
Jacksonville Jaguars,0.625,9.3
Tennessee Titans,0.562,-1.4
Houston Texans,0.25,-6.1
Indianapolis Colts,0.25,-8.8
Kansas City Chiefs,0.625,4.8
Los Angeles Chargers,0.562,5.2
Oakland Raiders,0.375,-4.5
Denver Broncos,0.312,-5.8
Philadelphia Eagles,0.812,10.1
Dallas Cowboys,0.562,1.4
Washington Football Team,0.438,-2.9
New York Giants,0.188,-8.9
Minnesota Vikings,0.812,8.1
Detroit Lions,0.562,2.1
Green Bay Packers,0.438,-4.0
Chicago Bears,0.312,-3.5
New Orleans Saints,0.688,7.6
Carolina Panthers,0.688,2.2
Atlanta Falcons,0.625,2.4
Tampa Bay Buccaneers,0.312,-2.9
Los Angeles Rams,0.688,9.3
Seattle Seahawks,0.562,2.1
Arizona Cardinals,0.5,-4.1
San Francisco 49ers,0.375,-3.2
